T1,T2,T0,flag,vref,theta,alpha,beta,a,b,c
4.0175813651624376e-06,2.2747911035958036e-05,2.323450759887953e-05,0,8.0,52.0,4.925291802605266,6.304086028853776,4.925291802605266,2.996852747327298,-7.922144549932564
4.515874025075623e-06,2.2434271502340625e-05,2.3049854472583756e-05,0,7.999999999999998,50.99999999999999,5.034563128398699,6.217167691655765,5.034563128398699,2.8669435963624017,-7.901506724761102
5.0127911060145065e-06,2.211379827229795e-05,2.2873410621687544e-05,0,8.0,50.00000000000001,5.142300877492314,6.128355544951825,5.142300877492314,2.736161146605351,-7.878462024097665
5.5081812422225126e-06,2.1786588965080347e-05,2.2705229792697142e-05,0,7.999999999999998,48.99999999999999,5.248472231924058,6.037676641782174,5.248472231924058,2.6045452356572527,-7.853017467581311
6.001893533065182e-06,2.1452743251812558e-05,2.2545363215122264e-05,0,7.999999999999999,47.99999999999999,5.353044850870866,5.945158603819153,5.353044850870866,2.47213595499958,-7.825180805870445
6.493777588996033e-06,2.1112362825132864e-05,2.2393859585871104e-05,0,8.0,46.99999999999999,5.455986880499989,5.850829612953363,5.455986880499988,2.338973637781893,-7.794960518281882
6.9836835773666354e-06,2.0765551368216592e-05,2.2250765054416776e-05,0,8.0,46.0,5.557266963671978,5.754718402709209,5.557266963671978,2.2050988465359938,-7.762365810207972
7.471462268067112e-06,2.0412414523193156e-05,2.2116123208739736e-05,0,8.0,45.0,5.65685424949238,5.656854249492381,5.656854249492381,2.070552360820168,-7.7274066103125465
7.956965078983057e-06,2.0053059858966453e-05,2.1989975062050492e-05,0,8.0,44.0,5.754718402709209,5.557266963671978,5.7547184027092095,1.9353751647973418,-7.69009356750655
8.440044121255088e-06,1.9687596838448336e-05,2.1872359040296578e-05,0,8.0,43.00000000000001,5.850829612953364,5.455986880499989,5.850829612953365,1.7996084347509216,-7.6504380477042835
8.920552244327248e-06,1.9316136785215214e-05,2.1763310970457543e-05,0,8.0,42.0,5.945158603819154,5.353044850870866,5.945158603819155,1.6632935265420745,-7.608452130361229
9.39834308077045e-06,1.8938792849597696e-05,2.1662864069631855e-05,0,8.0,41.00000000000001,6.037676641782175,5.248472231924059,6.037676641782176,1.5264719630123598,-7.564148604794536
9.873271090867465e-06,1.8555679974213987e-05,2.157104893491855e-05,0,8.0,39.99999999999999,6.128355544951824,5.142300877492313,6.128355544951824,1.3891854213354422,-7.5175409662872665
1.0345191606945667e-05,1.8166914858957222e-05,2.1487893534097115e-05,0,8.0,39.0,6.217167691655767,5.034563128398699,6.217167691655767,1.2514757203218478,-7.468643411977614
1.081396087744428e-05,1.7772615925447545e-05,2.1413423197108175e-05,0,8.0,37.99999999999999,6.304086028853776,4.9252918026052654,6.304086028853777,1.1133848076805226,-7.417470836534299
1.127943611070242e-05,1.7372903280959798e-05,2.1347660608337785e-05,0,8.0,37.00000000000001,6.389084080378343,4.814520185216387,6.389084080378343,0.9749547472411804,-7.364038827619524
1.1741475518454894e-05,1.696789868183758e-05,2.1290625799707527e-05,0,8.0,36.000000000000014,6.47213595499958,4.702282018339787,6.47213595499958,0.8362277061412299,-7.308363661140809
1.2199938359022225e-05,1.6557725496405144e-05,2.1242336144572634e-05,0,7.999999999999998,35.0,6.5532163543119335,4.5886114908083675,6.553216354311934,0.6972459419812655,-7.250462296293198
1.2654684980181936e-05,1.6142508667388198e-05,2.1202806352429867e-05,0,8.0,34.00000000000001,6.632300580440334,4.473543227765976,6.632300580440334,0.5580517899530042,-7.190352370393337
1.3105576861708006e-05,1.5722374673855194e-05,2.1172048464436803e-05,0,8.0,32.99999999999999,6.709364543563392,4.357112280120216,6.709364543563392,0.4186876499435505,-7.128052193506943
1.3552476657565418e-05,1.5297451492690466e-05,2.1150071849744117e-05,0,8.0,32.0,6.784384769251408,4.23935411386564,6.784384769251408,0.27919597362000914,-7.063580742871417
1.3995248237747148e-05,1.4867868559611327e-05,2.1136883202641527e-05,0,7.999999999999998,30.999999999999993,6.857338405616898,4.120304599280432,6.857338405616898,0.1396192514982675,-6.996957657115165
1.443375672974064e-05,1.4433756729740655e-05,2.113248654051871e-05,0,7.999999999999999,30.000000000000004,6.928203230275509,4.0,6.92820323027551,9.797174393178826e-16,-6.92820323027551
1.486786855961132e-05,1.399524823774714e-05,2.1136883202641544e-05,0,7.999999999999998,28.999999999999996,6.996957657115165,3.8784769619706947,6.996957657115165,-0.1396192514982691,-6.857338405616898
1.529745149269046e-05,1.3552476657565415e-05,2.115007184974413e-05,0,7.999999999999999,28.0,7.063580742871414,3.755772502287126,7.063580742871415,-0.2791959736200072,-6.784384769251408
1.572237467385519e-05,1.310557686170801e-05,2.1172048464436803e-05,0,8.0,27.000000000000014,7.128052193506942,3.631923997916376,7.128052193506942,-0.4186876499435485,-6.709364543563393
1.6142508667388208e-05,1.2654684980181951e-05,2.1202806352429843e-05,0,8.0,25.999999999999996,7.190352370393336,3.5069691743126183,7.190352370393337,-0.5580517899530022,-6.632300580440333
1.6557725496405123e-05,1.2199938359022218e-05,2.124233614457266e-05,0,7.999999999999999,25.00000000000001,7.250462296293199,3.380946093925596,7.2504622962931995,-0.6972459419812637,-6.553216354311934
1.696789868183757e-05,1.1741475518454895e-05,2.1290625799707537e-05,0,7.999999999999999,24.000000000000004,7.308363661140807,3.2538931446064017,7.308363661140807,-0.8362277061412279,-6.4721359549995805
1.737290328095979e-05,1.1279436110702426e-05,2.1347660608337785e-05,0,8.0,23.00000000000001,7.364038827619522,3.125849027914191,7.364038827619523,-0.9749547472411785,-6.3890840803783435
1.7772615925447555e-05,1.0813960877444285e-05,2.1413423197108162e-05,0,8.0,21.999999999999986,7.417470836534299,2.9968527473272943,7.417470836534299,-1.1133848076805242,-6.304086028853774
1.8166914858957208e-05,1.0345191606945681e-05,2.1487893534097115e-05,0,8.0,21.0,7.468643411977614,2.8669435963624026,7.468643411977614,-1.2514757203218458,-6.217167691655766
1.8555679974213977e-05,9.873271090867458e-06,2.1571048934918567e-05,0,8.0,20.0,7.517540966287267,2.7361611466053497,7.5175409662872665,-1.3891854213354435,-6.128355544951826
1.8938792849597682e-05,9.398343080770452e-06,2.166286406963187e-05,0,7.999999999999999,19.00000000000001,7.564148604794534,2.6045452356572545,7.564148604794535,-1.5264719630123578,-6.037676641782178
1.9316136785215217e-05,8.920552244327256e-06,2.176331097045753e-05,0,8.0,18.000000000000004,7.608452130361229,2.47213595499958,7.608452130361228,-1.663293526542076,-5.945158603819157
1.9687596838448336e-05,8.440044121255102e-06,2.1872359040296565e-05,0,7.999999999999999,17.0,7.650438047704283,2.3389736377818933,7.6504380477042835,-1.7996084347509198,-5.850829612953363
2.0053059858966436e-05,7.956965078983049e-06,2.198997506205052e-05,0,7.999999999999998,16.000000000000007,7.690093567506549,2.2050988465359938,7.690093567506551,-1.93537516479734,-5.754718402709209
2.0412414523193152e-05,7.471462268067111e-06,2.211612320873974e-05,0,8.0,15.000000000000002,7.7274066103125465,2.0705523608201664,7.7274066103125465,-2.0705523608201664,-5.656854249492381
2.076555136821659e-05,6.98368357736664e-06,2.2250765054416776e-05,0,8.0,14.000000000000014,7.762365810207972,1.9353751647973436,7.762365810207972,-2.205098846535992,-5.557266963671981
2.1112362825132864e-05,6.493777588996038e-06,2.23938595858711e-05,0,7.999999999999998,12.999999999999993,7.79496051828188,1.7996084347509185,7.794960518281882,-2.338973637781894,-5.455986880499986
2.1452743251812548e-05,6.001893533065194e-06,2.254536321512226e-05,0,7.999999999999998,12.000000000000002,7.825180805870444,1.6632935265420745,7.825180805870445,-2.4721359549995783,-5.353044850870865
2.1786588965080344e-05,5.508181242222506e-06,2.2705229792697153e-05,0,8.0,11.000000000000002,7.853017467581312,1.5264719630123587,7.853017467581313,-2.604545235657254,-5.248472231924059
2.2113798272297944e-05,5.012791106014511e-06,2.2873410621687547e-05,0,8.0,10.00000000000001,7.878462024097665,1.3891854213354444,7.878462024097664,-2.7361611466053493,-5.142300877492317
2.243427150234063e-05,4.515874025075626e-06,2.3049854472583746e-05,0,8.0,9.000000000000005,7.901506724761103,1.2514757203218478,7.901506724761102,-2.8669435963624035,-5.034563128398703
2.2747911035958042e-05,4.01758136516245e-06,2.323450759887951e-05,0,8.0,7.999999999999994,7.922144549932563,1.1133848076805228,7.922144549932564,-2.996852747327296,-4.9252918026052654
2.3054621335509922e-05,3.518064911046234e-06,2.3427313753443847e-05,0,7.999999999999999,7.000000000000007,7.940369213130575,0.9749547472411806,7.940369213130576,-3.1258490279141884,-4.814520185216386
2.3354308974067885e-05,3.01747682027788e-06,2.3628214205654236e-05,0,7.999999999999999,6.000000000000008,7.956175162946186,0.8362277061412288,7.956175162946185,-3.2538931446064017,-4.702282018339787
2.3646882663874083e-05,2.5159695768391156e-06,2.3837147759286803e-05,0,8.000000000000002,5.000000000000016,7.969557584733966,0.6972459419812678,7.969557584733965,-3.380946093925594,-4.588611490808372
2.393225328414836e-05,2.0136959446944997e-06,2.4054050771157146e-05,0,7.999999999999999,3.99999999999999,7.980512402078593,0.5580517899530009,7.980512402078593,-3.5069691743126197,-4.473543227765973
2.421033390823534e-05,1.51080892125802e-06,2.4278857170506643e-05,0,7.999999999999998,3.0000000000000036,7.98903627803659,0.41868764994355107,7.989036278036591,-3.6319239979163727,-4.357112280120216
2.4481039830083115e-05,1.0074616907885655e-06,2.4511498479128322e-05,0,8.000000000000002,1.999999999999997,7.995126616152767,0.27919597362000736,7.995126616152766,-3.7557725022871273,-4.23935411386564
2.4744288590045465e-05,5.03807577728621e-07,2.4751903832225918e-05,0,8.0,1.0000000000000109,7.99878156125113,0.13961925149826962,7.998781561251131,-3.8784769619706956,-4.120304599280436
2.4999999999999998e-05,7.07050159149938e-21,2.4999999999999998e-05,0,8.0,1.0601848938211722e-14,8.0,1.4802973661668753e-15,8.0,-4.000000000000001,-4.0000000000000036
5.038075777286197e-07,2.4744288590045472e-05,2.475190383222591e-05,0,8.0,359.0,7.998781561251129,-0.13961925149826815,7.998781561251131,-4.120304599280433,-3.8784769619706956
1.0074616907885695e-06,2.448103983008311e-05,2.4511498479128322e-05,0,8.0,358.0,7.995126616152765,-0.27919597362000675,7.995126616152766,-4.239354113865638,-3.7557725022871264
1.5108089212580046e-06,2.421033390823534e-05,2.4278857170506656e-05,0,7.999999999999999,357.0,7.989036278036591,-0.4186876499435499,7.989036278036591,-4.357112280120217,-3.6319239979163758
2.01369594469449e-06,2.393225328414836e-05,2.4054050771157153e-05,0,7.999999999999999,356.0,7.980512402078594,-0.558051789953,7.980512402078593,-4.4735432277659735,-3.5069691743126223
2.515969576839111e-06,2.3646882663874083e-05,2.383714775928681e-05,0,8.0,355.0,7.969557584733964,-0.6972459419812665,7.969557584733965,-4.588611490808369,-3.3809460939255938
3.0174768202778815e-06,2.335430897406789e-05,2.3628214205654233e-05,0,7.999999999999998,354.0,7.956175162946185,-0.8362277061412273,7.956175162946185,-4.702282018339784,-3.2538931446064012
3.5180649110462426e-06,2.3054621335509932e-05,2.3427313753443827e-05,0,8.000000000000002,353.0,7.940369213130578,-0.9749547472411797,7.940369213130577,-4.814520185216387,-3.125849027914191
4.0175813651624376e-06,2.2747911035958046e-05,2.323450759887952e-05,0,8.000000000000002,352.0,7.922144549932565,-1.1133848076805215,7.922144549932564,-4.9252918026052654,-2.996852747327299
4.51587402507562e-06,2.243427150234064e-05,2.3049854472583742e-05,0,8.000000000000002,351.0,7.901506724761104,-1.2514757203218452,7.901506724761102,-5.034563128398701,-2.866943596362406
5.012791106014507e-06,2.2113798272297938e-05,2.2873410621687558e-05,0,7.999999999999997,350.0,7.878462024097662,-1.3891854213354429,7.878462024097664,-5.142300877492314,-2.736161146605349
5.50818124222251e-06,2.1786588965080344e-05,2.270522979269715e-05,0,8.0,349.0,7.853017467581312,-1.526471963012357,7.853017467581313,-5.248472231924056,-2.6045452356572536
6.001893533065181e-06,2.1452743251812554e-05,2.2545363215122267e-05,0,8.000000000000002,348.0,7.8251808058704455,-1.6632935265420734,7.8251808058704455,-5.353044850870866,-2.4721359549995814
6.49377758899603e-06,2.1112362825132867e-05,2.2393859585871104e-05,0,8.0,347.0,7.794960518281883,-1.799608434750918,7.794960518281882,-5.455986880499988,-2.3389736377818973
6.9836835773666354e-06,2.0765551368216595e-05,2.2250765054416773e-05,0,8.0,346.0,7.762365810207971,-1.9353751647973425,7.762365810207972,-5.557266963671978,-2.2050988465359915
7.471462268067112e-06,2.0412414523193152e-05,2.2116123208739736e-05,0,8.0,345.0,7.7274066103125465,-2.070552360820166,7.7274066103125465,-5.65685424949238,-2.0705523608201655
7.956965078983057e-06,2.0053059858966443e-05,2.1989975062050503e-05,0,8.0,344.0,7.690093567506551,-2.205098846535993,7.690093567506551,-5.7547184027092095,-1.9353751647973432
8.440044121255093e-06,1.9687596838448343e-05,2.1872359040296568e-05,0,8.0,343.0,7.650438047704285,-2.338973637781893,7.650438047704284,-5.850829612953365,-1.7996084347509227
8.92055224432725e-06,1.931613678521522e-05,2.1763310970457533e-05,0,8.000000000000002,342.0,7.608452130361231,-2.472135954999577,7.608452130361229,-5.945158603819155,-1.663293526542079
9.398343080770455e-06,1.8938792849597696e-05,2.166286406963185e-05,0,8.0,341.0,7.564148604794534,-2.604545235657254,7.564148604794535,-6.037676641782176,-1.5264719630123575
9.873271090867462e-06,1.8555679974213977e-05,2.1571048934918564e-05,0,8.0,340.0,7.517540966287267,-2.7361611466053493,7.517540966287267,-6.128355544951823,-1.389185421335443
1.0345191606945664e-05,1.8166914858957205e-05,2.1487893534097135e-05,0,7.999999999999998,339.0,7.468643411977614,-2.866943596362399,7.468643411977614,-6.2171676916557645,-1.2514757203218487
1.0813960877444277e-05,1.7772615925447552e-05,2.1413423197108175e-05,0,8.000000000000002,338.0,7.417470836534301,-2.9968527473272943,7.417470836534299,-6.304086028853777,-1.113384807680527
1.1279436110702421e-05,1.7372903280959794e-05,2.1347660608337785e-05,0,7.999999999999999,337.0,7.364038827619521,-3.125849027914191,7.364038827619521,-6.389084080378343,-0.9749547472411778
1.1741475518454897e-05,1.696789868183757e-05,2.1290625799707533e-05,0,7.999999999999999,336.0,7.308363661140806,-3.2538931446064012,7.308363661140807,-6.472135954999579,-0.8362277061412273
1.2199938359022225e-05,1.655772549640513e-05,2.1242336144572647e-05,0,7.999999999999998,335.0,7.250462296293199,-3.3809460939255933,7.2504622962932,-6.553216354311933,-0.6972459419812665
1.2654684980181936e-05,1.6142508667388205e-05,2.120280635242986e-05,0,7.999999999999999,334.0,7.190352370393336,-3.5069691743126175,7.190352370393335,-6.632300580440334,-0.5580517899530051
1.3105576861708003e-05,1.5722374673855197e-05,2.1172048464436803e-05,0,8.0,333.0,7.128052193506944,-3.6319239979163727,7.128052193506943,-6.709364543563393,-0.41868764994355495
1.3552476657565415e-05,1.529745149269046e-05,2.115007184974413e-05,0,7.999999999999999,332.0,7.063580742871414,-3.7557725022871264,7.063580742871415,-6.784384769251408,-0.2791959736200066
1.3995248237747143e-05,1.4867868559611315e-05,2.1136883202641544e-05,0,7.999999999999997,331.0,6.996957657115165,-3.8784769619706947,6.996957657115167,-6.857338405616897,-0.13961925149826848
1.4433756729740643e-05,1.4433756729740643e-05,2.1132486540518717e-05,0,8.0,330.0,6.9282032302755105,-3.9999999999999973,6.92820323027551,-6.928203230275508,-1.959434878635765e-15
1.4867868559611317e-05,1.3995248237747145e-05,2.113688320264154e-05,0,7.999999999999999,329.0,6.857338405616899,-4.1203045992804315,6.857338405616898,-6.996957657115167,0.13961925149826457
1.529745149269046e-05,1.3552476657565415e-05,2.115007184974413e-05,0,7.999999999999999,328.0,6.784384769251407,-4.239354113865641,6.784384769251408,-7.063580742871416,0.27919597362000975
1.5722374673855197e-05,1.3105576861708003e-05,2.1172048464436803e-05,0,8.0,327.0,6.709364543563392,-4.357112280120216,6.709364543563392,-7.128052193506942,0.41868764994355107
1.6142508667388205e-05,1.2654684980181936e-05,2.120280635242986e-05,0,7.999999999999998,326.0,6.632300580440333,-4.473543227765973,6.632300580440334,-7.1903523703933345,0.5580517899530012
1.6557725496405133e-05,1.2199938359022227e-05,2.1242336144572644e-05,0,8.0,325.0,6.553216354311935,-4.5886114908083675,6.553216354311933,-7.250462296293201,0.6972459419812628
1.696789868183757e-05,1.1741475518454897e-05,2.1290625799707533e-05,0,7.999999999999999,324.0,6.4721359549995805,-4.7022820183397815,6.47213595499958,-7.308363661140807,0.8362277061412234
1.7372903280959794e-05,1.1279436110702421e-05,2.1347660608337785e-05,0,7.999999999999998,323.0,6.389084080378341,-4.814520185216385,6.389084080378342,-7.364038827619521,0.9749547472411809
1.777261592544755e-05,1.0813960877444275e-05,2.141342319710818e-05,0,8.0,322.0,6.304086028853776,-4.9252918026052654,6.304086028853777,-7.4174708365342985,1.113384807680523
1.8166914858957205e-05,1.0345191606945664e-05,2.1487893534097135e-05,0,7.999999999999999,321.0,6.217167691655768,-5.034563128398697,6.217167691655768,-7.468643411977613,1.251475720321845
1.8555679974213974e-05,9.873271090867458e-06,2.157104893491857e-05,0,7.999999999999998,320.0,6.128355544951825,-5.142300877492312,6.128355544951824,-7.517540966287267,1.3891854213354395
1.8938792849597696e-05,9.398343080770455e-06,2.166286406963185e-05,0,8.0,319.0,6.037676641782177,-5.248472231924059,6.037676641782177,-7.564148604794535,1.5264719630123604
1.9316136785215217e-05,8.920552244327248e-06,2.1763310970457536e-05,0,8.0,318.0,5.945158603819154,-5.353044850870866,5.945158603819155,-7.608452130361228,1.663293526542075
1.9687596838448336e-05,8.440044121255092e-06,2.1872359040296575e-05,0,7.999999999999998,317.0,5.850829612953364,-5.455986880499986,5.850829612953365,-7.650438047704282,1.7996084347509187
