T1,T2,T0,flag,vref,theta,alpha,beta,a,b,c
1.5297451492690463e-05,2.8849928150255882e-05,5.852620357053654e-06,0,8.0,28.0,7.063580742871416,3.755772502287127,7.063580742871415,-0.27919597362000714,-6.784384769251409
1.572237467385519e-05,2.8827951535563196e-05,5.449673790581612e-06,0,8.0,27.000000000000014,7.128052193506942,3.631923997916376,7.128052193506942,-0.4186876499435484,-6.709364543563393
1.614250866738821e-05,2.8797193647570146e-05,5.060297685041645e-06,0,8.0,25.999999999999993,7.190352370393336,3.5069691743126183,7.190352370393337,-0.5580517899530022,-6.632300580440333
1.6557725496405123e-05,2.875766385542736e-05,4.684610648167521e-06,0,7.999999999999999,25.00000000000001,7.250462296293199,3.380946093925596,7.2504622962931995,-0.6972459419812637,-6.553216354311934
1.696789868183757e-05,2.870937420029247e-05,4.3227271178699665e-06,0,7.999999999999999,24.000000000000004,7.308363661140807,3.2538931446064017,7.308363661140807,-0.8362277061412279,-6.4721359549995805
1.737290328095979e-05,2.8652339391662217e-05,3.974757327377994e-06,0,8.0,23.000000000000018,7.364038827619522,3.1258490279141924,7.364038827619523,-0.9749547472411785,-6.389084080378345
1.7772615925447552e-05,2.8586576802891817e-05,3.6408072716606304e-06,0,7.999999999999999,21.999999999999986,7.417470836534299,2.9968527473272943,7.417470836534299,-1.1133848076805242,-6.304086028853774
1.8166914858957208e-05,2.851210646590288e-05,3.3209786751399136e-06,0,8.0,21.0,7.468643411977614,2.866943596362402,7.468643411977614,-1.251475720321846,-6.217167691655766
1.8555679974213977e-05,2.8428951065081442e-05,3.015368960704583e-06,0,8.0,20.0,7.517540966287267,2.7361611466053497,7.5175409662872665,-1.3891854213354435,-6.128355544951826
1.8938792849597686e-05,2.8337135930368137e-05,2.7240712200341796e-06,0,7.999999999999999,19.00000000000001,7.564148604794534,2.6045452356572545,7.564148604794535,-1.526471963012358,-6.037676641782178
1.9316136785215217e-05,2.8236689029542463e-05,2.447174185242326e-06,0,8.0,18.000000000000004,7.608452130361229,2.47213595499958,7.608452130361228,-1.663293526542076,-5.945158603819157
1.9687596838448343e-05,2.8127640959703434e-05,2.184762201848225e-06,0,8.0,17.0,7.650438047704284,2.338973637781894,7.6504380477042835,-1.7996084347509198,-5.850829612953365
2.0053059858966433e-05,2.8010024937949496e-05,1.9369152030840767e-06,0,7.999999999999998,16.000000000000014,7.690093567506549,2.2050988465359946,7.690093567506551,-1.93537516479734,-5.7547184027092095
2.041241452319315e-05,2.788387679126027e-05,1.7037086855465806e-06,0,8.0,15.000000000000002,7.7274066103125465,2.0705523608201664,7.7274066103125465,-2.0705523608201664,-5.656854249492381
2.076555136821659e-05,2.7749234945583226e-05,1.4852136862001874e-06,0,8.0,14.000000000000014,7.762365810207972,1.9353751647973436,7.762365810207972,-2.205098846535992,-5.557266963671981
2.1112362825132867e-05,2.7606140414128888e-05,1.2814967607382473e-06,0,7.999999999999998,12.99999999999999,7.794960518281881,1.7996084347509183,7.794960518281882,-2.3389736377818946,-5.455986880499986
2.1452743251812548e-05,2.745463678487773e-05,1.0926199633097227e-06,0,7.999999999999998,12.000000000000002,7.825180805870444,1.6632935265420745,7.825180805870445,-2.4721359549995783,-5.353044850870865
2.178658896508034e-05,2.729477020730286e-05,9.186408276168017e-07,0,8.0,10.999999999999998,7.853017467581312,1.5264719630123582,7.853017467581313,-2.6045452356572545,-5.248472231924059
2.2113798272297944e-05,2.7126589378312455e-05,7.596123493896031e-07,0,8.0,10.00000000000001,7.878462024097665,1.3891854213354444,7.878462024097664,-2.7361611466053493,-5.142300877492317
2.243427150234063e-05,2.6950145527416253e-05,6.155829702431174e-07,0,8.0,9.000000000000005,7.901506724761103,1.2514757203218478,7.901506724761102,-2.8669435963624035,-5.034563128398703
2.2747911035958042e-05,2.6765492401120477e-05,4.865965629214869e-07,0,8.0,7.999999999999994,7.922144549932563,1.1133848076805228,7.922144549932564,-2.996852747327296,-4.9252918026052654
2.3054621335509922e-05,2.6572686246556172e-05,3.72692417933912e-07,0,7.999999999999999,7.000000000000007,7.940369213130575,0.9749547472411806,7.940369213130576,-3.1258490279141884,-4.814520185216386
2.3354308974067885e-05,2.6371785794345776e-05,2.7390523158634083e-07,0,7.999999999999999,6.0000000000000036,7.956175162946186,0.8362277061412282,7.956175162946185,-3.2538931446064017,-4.702282018339786
2.3646882663874083e-05,2.6162852240713193e-05,1.9026509541272677e-07,0,8.000000000000002,5.000000000000011,7.969557584733966,0.6972459419812671,7.969557584733965,-3.380946093925594,-4.588611490808371
2.393225328414836e-05,2.5945949228842846e-05,1.2179748700879742e-07,0,7.999999999999998,3.99999999999999,7.980512402078593,0.5580517899530009,7.980512402078593,-3.5069691743126197,-4.473543227765973
2.421033390823534e-05,2.572114282949335e-05,6.852326227131498e-08,0,7.999999999999998,2.9999999999999996,7.98903627803659,0.41868764994355046,7.989036278036591,-3.6319239979163735,-4.357112280120216
2.4481039830083108e-05,2.5488501520871684e-05,3.04586490452072e-08,0,8.0,1.999999999999997,7.995126616152767,0.27919597362000736,7.995126616152766,-3.7557725022871273,-4.23935411386564
2.4744288590045465e-05,2.5248096167774088e-05,7.615242180452491e-09,0,8.0,1.0000000000000109,7.99878156125113,0.13961925149826962,7.998781561251131,-3.8784769619706956,-4.120304599280436
2.4999999999999998e-05,2.4999999999999998e-05,6.776263578034403e-21,0,8.0,1.0601848938211722e-14,8.0,1.4802973661668753e-15,8.0,-4.000000000000001,-4.0000000000000036
5.038075777286195e-07,2.5248096167774088e-05,2.4248096254497295e-05,0,7.999999999999999,359.0,7.998781561251129,-0.13961925149826873,7.998781561251131,-4.120304599280433,-3.8784769619706947
1.0074616907885693e-06,2.548850152087167e-05,2.3504036788339763e-05,0,7.999999999999999,358.0,7.995126616152765,-0.27919597362000675,7.995126616152766,-4.239354113865638,-3.7557725022871264
1.5108089212580046e-06,2.5721142829493346e-05,2.276804824924865e-05,0,7.999999999999999,357.0,7.989036278036591,-0.4186876499435499,7.989036278036591,-4.357112280120217,-3.6319239979163758
2.01369594469449e-06,2.5945949228842843e-05,2.2040354826462668e-05,0,7.999999999999999,356.0,7.980512402078594,-0.558051789953,7.980512402078593,-4.4735432277659735,-3.5069691743126223
2.515969576839111e-06,2.6162852240713196e-05,2.1321178182447697e-05,0,8.0,355.0,7.969557584733964,-0.6972459419812671,7.969557584733965,-4.588611490808369,-3.380946093925593
